id,site_name,existing_device_client,capacity,latitude,longitude,feasibility_client,feasibility_mbps,comment,booked_by,expiry_date,interface,city,division,district,location,address,created_at
63,NGSDR03,ROBI,1000,23.6121,90.5032,"Bright Teq",1,CR,rabeya.akter,"2018-03-31 12:10:19",ge-0/1/3,NarayanganjSadar,Dhaka,Narayanganj,Narayanganj,Noyamati,"2018-03-27 12:14:40"
64,DHMS2M,GP,1000,23.805944,90.36275,CCL,5,CR,rabeya.akter,"2018-03-31 12:30:21",ge-0/1/3,DMP,Dhaka,Dhaka,Dhaka,"House No:38, Road No:11, Block-H, Section 2, Mirpur Dhaka-1216","2018-03-27 12:31:42"
65,SKSDR01A01ES01,SCL,1000,22.7121,89.0703,"Broad Band",10,CR,rabeya.akter,"2018-03-31 12:50:54",Port4,SatkhiraSadar,Khulna,Satkhira,Satkhira,"link Road","2018-03-27 12:52:19"
66,KHSDRC01JR01,SCL,1000,22.82301,89.552481,BBTSL,10,CR,rabeya.akter,"2018-03-31 13:00:30",ge-0/3/0,KhulnaSadar,Khulna,Khulna,Khulna,"Toyamon Center, 181 Khan-E-Sobur Road, Shib Bari mor,khulna","2018-03-27 13:01:24"
67,DHK_X2134,Banglalink,1000,24.0176,90.39841,"Amber IT",3,cr,rabeya.akter,"2018-03-31 13:55:24",ge-1/1/3,GazipurSadar,Dhaka,Gazipur,"Salna - Joydebpur Road","Al Jaber Ahmed Manik, Deshipara Notun Bazar, Salna, Gazipur Sadar, Gazipur","2018-03-27 13:55:39"
68,GPSDR11,ROBI,1000,23.9890995,90.35939789,Agni,15,CR,rabeya.akter,"2018-03-31 16:55:53",ge-0/2/3,GazipurSadar,Dhaka,Gazipur,Rana_Tower_Reloc,Rana_Tower_Reloc,"2018-03-27 16:56:15"
69,DHPLB08,ROBI,1000,23.8288,90.366,Agni,5,CR,rabeya.akter,"2018-03-31 16:55:33",ge-0/1/3,DMP,Dhaka,Dhaka,Dhaka,Mirpur_Sec_12C,"2018-03-27 16:58:53"
70,DHPLB26,ROBI,1000,23.8212,90.363,Agni,5,CR,rabeya.akter,"2018-03-31 17:00:42",ge-0/2/3,DMP,Dhaka,Dhaka,Dhaka,"Mirpur 7 Rd 2/c","2018-03-27 17:02:15"
71,DHSHM11,ROBI,1000,23.6723,90.4486,Agni,5,CR,rabeya.akter,"2018-03-31 17:15:02",ge-0/2/3,DMP,Dhaka,Dhaka,Dhaka,Shyampur,"2018-03-27 17:17:32"
72,DHBDAG,GP,1000,23.775417,90.423417,CCL,50,cr,rabeya.akter,"2018-03-31 18:25:04",ge-0/1/3,DMP,Dhaka,Dhaka,Dhaka,"Kha/67, Dakhin Badda, Dhaka","2018-03-27 18:25:18"
73,TNPDL1,GP,1000,24.248227,89.913878,"Genius internet",20,Q,partha.sarkar,"2018-04-24 19:20:49",ge-0/1/3,TangailSadar,Dhaka,Tangail,Tangail,"Khan Plaza, Holding # 534, Par Dighulia, Main Road, Kotwali, Tangail","2018-03-27 19:24:25"
74,TNKLH02,ROBI,1000,24.332,90.0285,"Genius internet",15,Q,partha.sarkar,"2018-03-31 19:35:29",ge-0/2/2,Kalihati,Dhaka,Tangail,Balla,Bolla,"2018-03-27 19:38:04"
75,RPKAU01,ROBI,1000,25.7733,89.4286,"Asia Intel",50,CR,rabeya.akter,"2018-03-31 12:00:09",ge-0/2/1,Kaunia,Rangpur,Rangpur,Kaunia,Kaunia,"2018-03-28 12:05:07"
76,CGRZN01,ROBI,1000,22.53,91.91989722,"Tomato Web",10,CR,rabeya.akter,"2018-04-08 12:15:27",ge-0/1/0,Raozan,Chittagong,Chittagong,Raojan,Rauzan,"2018-03-28 12:19:33"
77,NGARH03A01ES01,SCL,1000,23.7923,90.6132,"Amber IT",20,CR,rabeya.akter,"2018-04-08 13:15:59",Port2,Araihazar,Dhaka,Narayanganj,"Kalibari Link Road","Kalibari Link Road","2018-03-28 13:19:05"
78,NSPLS02,ROBI,1000,23.93304688,90.63221246,"Amber IT",20,CR,rabeya.akter,"2018-04-08 13:15:42",ge-0/2/3,Palash,Dhaka,Narsingdi,Ghorashal,"Moyejuddin Road","2018-03-28 13:20:41"
79,CGCDG4,GP,1000,22.392778,91.866389,BTS,5,CR,rabeya.akter,"2018-04-08 13:25:35",ge-0/1/2,"Chittagong City",Chittagong,Chittagong,Chittagong,"Chandgaon 4","2018-03-28 13:30:40"
80,DHNWG10,ROBI,1000,23.6676,90.1264,Orange,45,CR,rabeya.akter,"2018-04-08 13:40:32",ge-0/2/3,Nawabganj,Dhaka,Dhaka,"Golla, Nawabganj","Golla, Nawabganj","2018-03-28 13:44:47"
81,GPVOG1,GP,1000,23.985167,90.371833,CCL,10,cr,rabeya.akter,"2018-04-08 14:35:02",ge-0/1/3,GazipurSadar,Dhaka,Gazipur,"Vogra, Gazipur","Vogra, Gazipur","2018-03-28 14:39:00"
82,SYBNB02,ROBI,1000,24.902,92.1473,CCL,10,cr,rabeya.akter,"2018-04-08 14:45:40",ge-0/2/3,BeaniBazar,Sylhet,Sylhet,Charkhai,Charkhai,"2018-03-28 14:46:34"
83,DHKBNN,GP,1000,23.751833,90.379528,CCL,5,cr,rabeya.akter,"2018-04-08 14:45:54",ge-0/1/3,DMP,Dhaka,Dhaka,Dhaka,"Holding No: 63/B, Lake Circus, Kalabagan, P.S: Dhanmondi, Dhaka","2018-03-28 14:48:50"
84,DHUTR7,GP,1000,23.859167,90.405278,CCL,2,CR,rabeya.akter,"2018-04-08 15:05:59",ge-0/1/3,DMP,Dhaka,Dhaka,Dhaka,"House # 15, Road # 2, Sector # 4, Uttara Model Town, Dhaka","2018-03-28 15:09:36"
85,SYJPM1,GP,1000,24.93119,91.91233,CCL,2,CR,rabeya.akter,"2018-04-08 15:10:02",ge-0/1/3,SylhetSadar,Sylhet,Sylhet,"Jalalabad Gas Plant, Chevron Ltd. Sylhet","Jalalabad Gas Plant, Chevron Ltd. Sylhet","2018-03-28 15:12:15"
86,CGPTG08,ROBI,1000,22.2374,91.8125,CCL,2,CR,rabeya.akter,"2018-04-08 15:10:49",ge-0/2/2,"Chittagong City",Chittagong,Chittagong,Chittagong,Nizam_Market,"2018-03-28 15:15:00"
87,BSBBG02,ROBI,1000,22.7757,90.3056,CCL,2,CR,rabeya.akter,"2018-04-08 15:15:29",ge-0/2/2,Babuganj,Barisal,Barisal,Madhabpasha,Barisal_Cadet_Coll,"2018-03-28 15:18:19"
88,CXSDRC01JR01,SCL,1000,21.443072,91.976835,ccl,2,CR,rabeya.akter,"2018-04-08 15:15:47",ge-0/0/8,CoxsBazarSadar,Chittagong,"Coxs Bazar","Coxs Bazar","Shafique Centre, Bazaar- Ghat road, Barmiz Market, Cox Bazaar","2018-03-28 15:20:56"
89,JSSDR08,ROBI,1000,23.1938,89.1822,CCL,2,CR,rabeya.akter,"2018-04-08 15:20:31",ge-0/2/2,Kotwali,Khulna,Jessore,Jessore,Jessore_Cantt_,"2018-03-28 15:25:37"
90,RAJ_X0010,Banglalink,1000,24.45238,88.60238,CCL,2,CR,rabeya.akter,"2018-04-08 15:25:55",ge-1/2/0,Paba,Rajshahi,Rajshahi,"Duari - Naohata Road","Village: Duary, Post Office: Naohati, Rajshahi","2018-03-28 15:28:07"
91,NPSDP02,ROBI,1000,25.7813,88.9167,CCL,2,CR,rabeya.akter,"2018-04-08 15:25:54",ge-0/1/1,Saidpur,Rangpur,Nilphamari,Saidpur,Saidpur2,"2018-03-28 15:29:57"
92,DHKAK2,GP,1000,23.736222,90.409583,CCL,10,cr,rabeya.akter,"2018-04-08 15:40:08",ge-0/2/3,DMP,Dhaka,Dhaka,Dhaka,"House # 62, Pioneer Road, Kakrail, Dhaka","2018-03-28 15:41:07"
93,BMASJP01ES01,SCL,100,24.04374,91.0146,CCL,10,cr,rabeya.akter,"2018-04-08 15:40:28",Port20,Ashuganj,Chittagong,Brahmanbaria,Ashuganj,"Tranning Center Road","2018-03-28 15:44:25"
