Hostname,Resource Name,IP Address,Alias,Resource,Average,Minimum,Maximum,95th Percentile
SNSDR03,GigabitEthernet0/2/16,10.151.101.128,"HUAWEI, GigabitEthernet0/2/16 Interface",GigabitEthernet0/2/16,1,1,1,1
DHGRN1,ge-0/1/0,10.1.8.133,TO-DHDHNS_Ring-8_OH,ge-0/1/0,1,1,1,1
MYBLK36,ge-0/2/0,10.103.103.128,,ge-0/2/0,1,1,1,1
UTTARA-AGG-RTR.summitiig.net,TenGigE0/0/0/0,172.16.201.237,TO-UTTARA-SW5-NEXUS-Eth1/1,TenGigE0/0/0/0,1,1,1,1
UTTARA-AGG-RTR.summitiig.net,TenGigE0/2/0/6,172.16.201.237,TO-UTTARA-SW5-NEXUS-Eth1/3,TenGigE0/2/0/6,1,1,1,1
UTTARA-AGG-RTR.summitiig.net,TenGigE0/0/0/1,172.16.201.237,TO-UTTARA-SW5-NEXUS-Eth1/2,TenGigE0/0/0/1,1,1,1,1
DHK_X0453,Eth-Trunk0,10.193.1.131,"HUAWEI, Eth-Trunk0 Interface",Eth-Trunk0,1,1,1,1
SYBNB09,GigabitEthernet0/2/24,10.153.103.132,TO-RING_103-SYBNB12_OH,GigabitEthernet0/2/24,1,1,1,1
DHNWG03,ge-0/1/2,10.1.169.131,To-Ring_169-DHNWG07-OH,ge-0/1/2,1,1,1,1
CMDKN20,ge-0/2/0,10.29.101.131,To-CDP-RING-101_CTG_X0657,ge-0/2/0,1,1,1,1
NSBLB14,GigabitEthernet0/2/24,10.111.100.131,To-NSBLB02-AGG-Active,GigabitEthernet0/2/24,1,1,1,1
CTG_X0776,xe-0/3/1,10.35.21.128,To-RMSDR03,xe-0/3/1,1,1,1,1
DHBANC01JR01,ge-0/3/7,10.1.0.128,To-DHK_X0711-DHK-BL-RING-32,ge-0/3/7,1,1,1,1
GAIBANDHA_WIC,ge-0/0/0,10.53.102.128,,ge-0/0/0,1,1,1,1
BSSDR05,GigabitEthernet0/2/0,10.15.107.128,To-BSSDR16-AGG,GigabitEthernet0/2/0,1,1,1,1
CP2905A01ES01,Port1,172.30.29.10,UNI:cpcl_211218_005_nb,Port1,1,1,1,1
DHKRBC01ES02,Port14,172.30.1.158,banglaTrac_SummitTOBanani,Port14,1,1,1,1
DHNWG14,ge-0/2/0,10.1.178.129,To-Ring_169-DHNWG06-OH,ge-0/2/0,1,1,1,1
DHBNNO,ge-0/2/1,10.1.27.133,To-DHMOH6_OH,ge-0/2/1,1,1,1,1
ITSwTK3-0,gi29,172.20.16.42,Ta-2/Ca-1_Mar,gi29,1,1,1,1
RAN4018,ge-0/0/1,10.141.201.128,To_TeleTalk-3G-Service,ge-0/0/1,1,1,1,1
MBKML13,GigabitEthernet0/2/10,10.97.104.132,UNI:MBKML13-GE0/2/10-arnt_171218_014_nd,GigabitEthernet0/2/10,1,1,1,1
DHK_X0873,GigabitEthernet0/2/8,10.191.3.131,To-DHK_X2687,GigabitEthernet0/2/8,1,1,1,1
DHPTNC01JR01,ge-1/3/1,10.1.0.141,To-DHLBG3-Ring-62,ge-1/3/1,1,1,1,1
DHK_X0873,GigabitEthernet0/2/5,10.191.3.131,To-NGFAT4_GP_NAR_RING_2,GigabitEthernet0/2/5,1,1,1,1
BL-HO-CR07,xe-2/0/0,10.4.0.129,To-DHUTRB01,xe-2/0/0,1,1,1,1
GPHouse-HO,ge-1/1/3,10.1.0.138,To-GP_OFFICE_Telnor_Ring-72_OH,ge-1/1/3,1,1,1,1
SAVAR-SW2.summitiig.net,Te1/0/4,172.16.201.93,"@ TO-DC-SW-12-P-Eth1/4-SAVAR-ODF-1,T-6,P-6-3-siig_250716_17_ic-s",Te1/0/4,1,1,1,1
KHU_X0295,GigabitEthernet0/2/4,10.202.3.129,"HUAWEI, GigabitEthernet0/2/4 Interface",GigabitEthernet0/2/4,1,1,1,1
CGPTG24,ge-0/2/1,10.33.101.136,To-Ring_101_CGPTG01-OH,ge-0/2/1,1,1,1,1
BSSDR04,GigabitEthernet0/2/1,10.15.103.130,To-BSSDR17,GigabitEthernet0/2/1,1,1,1,1
DHDHNC01JR01,ge-2/2/8,10.1.0.129,To-DHDAN1-Ring-71,ge-2/2/8,1,1,1,1
BSSDR04,GigabitEthernet0/2/0,10.15.103.130,To-BSSDR14,GigabitEthernet0/2/0,1,1,1,1
RSBLA30A01ES01,Port1,172.30.131.18,UNI:zpnt_091118_011_nb,Port1,1,1,1,1
NSSBP02,GigabitEthernet0/2/16,10.111.101.131,"HUAWEI, GigabitEthernet0/2/16 Interface",GigabitEthernet0/2/16,1,1,1,1
KHKLS01,GigabitEthernet0/2/0,10.73.103.130,To-KHKLS03,GigabitEthernet0/2/0,1,1,1,1
BSWZP18,GigabitEthernet0/2/12,10.15.106.129,UNI:adns_271118_024_nb,GigabitEthernet0/2/12,1,1,1,1
BODPCA01JR01,ge-0/0/1,10.25.0.131,TO_ALARM_SYS_Dhupchaia_POP,ge-0/0/1,1,1,1,1
FPSDR06,ge-0/2/0,10.49.101.130,,ge-0/2/0,1,1,1,1
FPSDR06,ge-0/2/1,10.49.101.130,,ge-0/2/1,1,1,1,1
JKSDR02A01ES01,Port3,172.30.65.2,IIG_Computer_Complex_DHK_to_JKSDR02,Port3,1,1,1,1
